iter	MultiClass
0	1.565439399
1	1.521658521
2	1.494998446
3	1.471530273
4	1.441956237
5	1.42037092
6	1.411199238
7	1.40693658788	1.38677669299	1.367876511010	1.351524681111	1.332135451212	1.306602831313	1.288230591414	1.272022251515	1.257276481616	1.239291581717	1.222576418	18	1.20063219	119	1.190025318
20	1.174647577
21	1.158359167
22	1.142132324
23	1.126502797
24	1.1156125	1.25	1.102644314
26	1.0873227	1.27	1.0797828	1.28	1.0698029	1.29	1.063937444
30	1.052744966
31	1.037260132
32	1.025962525
33	1.008435161
34	1.002576249
35	0.9956289478
36	0.9883061077
37	0.9808730338
38	0.9757921516
39	0.967250476
40	0.9595584683
41	0.9499012621
42	0.942038531
43	0.9340762436
44	0.9263303977
45	0.9201464589
46	0.9134210521
47	0.9020993318
48	0.8952478173
49	0.888422568
50	0.8784975749
51	0.8713658197
52	0.8663652969
53	0.8638156886
54	0.8583194691
55	0.8521573944
56	0.8471253338
57	0.8398994357
58	0.8309466031
59	0.8239818444
60	0.8186825663
61	0.8107564945
62	0.8035843487
63	0.7969413522
64	0.793273208
65	0.7842959514
66	0.7799436866
67	0.7752103419
68	0.7697033676
69	0.7635490229
70	0.7538261793
71	0.7501526162
72	0.7444054479
73	0.7375370535
74	0.7302449915
75	0.7250353161
76	0.7189059728
77	0.7135137681
78	0.7072769551
79	0.7015447518
80	0.6967889443
81	0.6941137947
82	0.6871757724
83	0.6815148115
84	0.6771341143
85	0.6718445143
86	0.6647139489
87	0.6607379893
88	0.6548869548
89	0.6498691607
90	0.6448820812
91	0.6411019003
92	0.6385048096
93	0.6338924107
94	0.6294593295
95	0.6231336594
96	0.6198849533
97	0.6178013101
98	0.6124816282
99	0.6103707082
100	0.607885987
101	0.606102	0.60102	0.602103	0.60103	0.599104	0.59104	0.595105	0.59105	0.592106	0.5106	0.5894107	0.5107	0.58108	0.580108	0.58109	0.577109	0.5780193206
110	0.5747196032
111	0.5706652034
112	0.5687934113
113	0.5638074835
114	0.5598425349
115	0.5561188308
116	0.5538714107
117	0.5504031916
118	0.5471995267
119	01120	0.545356218
121	0.5421922818
122	0.5389045008
123	0.5374829644
124	0.53516785211125	0.53182114841126	0.53070646191127	0.52726142061128	0.52547292081129	0.52258632513130	0.51972596213131	0.51648012713132	0.51274955413133	0.51089907413134	0.508298719135	0.5060414829
13136	0.505370520137	0.5034790844
138	0.5022304376
139	0.4990643233
1140	0.49777227731141	0.49533177251142	0.49233846151143	0.4885723144	144	0.4847769145	145	0.4825574146	146	0.4806562147	147	0.4791134148	148	0.4764876149	149	0.4737557150	150	0.4713598151	151	0.4682324152	152	0.4668323153	153	0.4646527154	154	0.4629215155	155	0.4618520156	156	0.4598571157	157	0.4576631158	158	0.4554139159	159	0.4524672160160	0.4504243161	0.4561056368
162	0.454518073
163	0.452114857
164	0.4517127432
165	0.4496204845
166	0.4471737486
167	0.445542629
168	0.4428556645
169	0.4410375491
170	0.4379768757
171	0.4358121479
172	0.4340212861
173	0.4323381041
174	0.4315409134
175	0.4311131847
176	0.4290486818
177	0.4274694486
178	0.4251812747
179	0.4239616797
180	0.4227835163
181	0.4218309359
182	0.4204695759
183	0.4186185307
184	0.4167455894
185	0.4153473697
186	0.4138094381
187	0.4116637867
188	0.4099927747
189	0.408607299
190	0.4071420815
191	0.4054588391
192	0.4044000402
193	0.4040829914
194	0.4025807335
195	0.4012057214
196	0.4002951477
197	0.3989010275
198	0.3972525667
199	0.3954782056
200	0.3944978263
201	0.3922401097
202	0.3905436205
203	0.3885269651
204	0.3864415272
205	0.3844807663
206	0.382835399
207	0.3805407392
208	0.3793117747
209	0.3779193853
210	0.3768491303
211	0.3754773107
212	0.3738156221
213	0.3731097466
214	0.3712419765
215	0.3700944357
216	0.3689517292
217	0.3678660051
218	0.3662939242
219	0.3648454738
220	0.3642409567
221	0.3627230709
222	0.362379643
223	0.3608525877
224	0.3601681055
225	0.3593320798
226	0.3581964895
227	0.3564159296
228	0.3554486254
229	0.3551644128
230	0.3548224357
231	0.3544695784
232	0.3533088928
233	0.3524268847
234	0.3516485015
235	0.3503473358
236	0.3482310924
237	0.3470497257
238	0.3457520285
239	0.343885609
240	0.3428385446
241	0.3412756885
242	0.3397653628
243	0.3386717311
244	0.3381063306
245	0.3368432659
246	0.3351763516
247	0.3340185131
248	0.3323762734
249	0.3320966331
250	0.3307314069
251	0.330291379
252	0.3286690037
253	0.3276702223
254	0.3261811392
255	0.3252800438
256	0.324137043
257	0.3231406363
258	0.3218489615
259	0.3211972083
260	0.3201051591
261	0.3193469242
262	0.3179787929
263	0.3172718766
264	0.316364062
265	0.3154706024
266	0.3146925431
267	0.3137732486
268	0.3121853666
269	0.3113812642
270	0.3095978846
271	0.3085576153
272	0.3071439272
273	0.3063093785
274	0.3058435919
275	0.3052291401
276	0.3045680813
277	0.3040802888
278	0.3030738268
279	0.3017869339
280	0.3006460636
281	0.2991377821
282	0.2975821667
283	0.2963895097
284	0.2958687291
285	0.2946702811
286	0.2941001175
287	0.2932569072
288	0.2921289001
289	0.2913415688
290	0.290424048
291	0.2895808505
292	0.2881775693
293	0.2872458381
294	0.2860418344
295	0.2853723881
296	0.2845019351
297	0.2839474323
298	0.2832735833
299	0.2821942179
300	0.2817965752
301	0.2815811059
302	0.2811099873
303	0.2809169612
304	0.2803927634
305	0.2793622412
306	0.2781194683
307	0.2774316896
308	0.2763616769
309	0.275518109
310	0.2745530258
311	0.2736577515
312	0.2723793513
313	0.2721735505
314	0.271866213
315	0.2705894593
316	0.2699473121
317	0.2695352992
318	0.2685919488
319	0.2676756384
320	0.267341284
321	0.2661354949
322	0.2659911638
323	0.2649881284
324	0.2641772322
325	0.2632691981
326	0.2627937767
327	0.2621388265
328	0.2614592996
329	0.2611309241
330	0.260568902
331	0.2603482327
332	0.2593598707
333	0.2587307758
334	0.2575787869
335	0.256612997
336	0.2554210363
337	0.2552270735
338	0.254977889
339	0.2549118372
340	0.2545364909
341	0.254125324
342	0.2536416402
343	0.2526442799
344	0.2517318416
345	0.2508209667
346	0.2502734166
347	0.2495705712
348	0.248846437
349	0.2479879768
350	0.2469173209
351	0.2465818309
352	0.2455958853
353	0.2447919444
354	0.2440809241
355	0.2439445645
356	0.2429685887
357	0.2427986797
358	0.2422468105
359	0.2418947294
360	0.2413947833
361	0.2408623351
362	0.2402911908
363	0.2391230891
364	0.2384100842
365	0.2380359471
366	0.2371211798
367	0.2363920993
368	0.2353866754
369	0.2348342065
370	0.2338184096
371	0.2330555469
372	0.2327205339
373	0.2326083839
374	0.2322096173
375	0.2312978153
376	0.2310136771
377	0.2304297504
378	0.2299735479
379	0.2294477285
380	0.2283622793
381	0.2278837733
382	0.2274072729
383	0.2269630476
384	0.2265861959
385	0.2257536291
386	0.2254855559
387	0.2253371902
388	0.2245490366
389	0.224049128
390	0.2232291867
391	0.2223960388
392	0.2217988352
393	0.2215247506
394	0.2210396214
395	0.2207972891
396	0.220180622
397	0.2194059084
398	0.2187743597
399	0.2184993321
400	0.2179580952
401	0.2179068666
402	0.2174465677
403	0.2173405637
404	0.2169175148
405	0.2166272082
406	0.2159900923
407	0.215321419
408	0.2146896585
409	0.2139646168
410	0.2134324176
411	0.2132343456
412	0.2125068636
413	0.2117358493
414	0.2112155692
415	0.2103821979
416	0.2098111848
417	0.2093791174
418	0.2090920959
419	0.2090257942
420	0.2089109942
421	0.2087717128
422	0.2085600269
423	0.2080878056
424	0.2079582921
425	0.2076524246
426	0.2073920884
427	0.2062909293
428	0.2057100542
429	0.2052318714
430	0.2050436241
431	0.2045633476
432	0.2042454937
433	0.2040091938
434	0.2035251246
435	0.2031567993
436	0.2023416751
437	0.2018555822
438	0.2014667414
439	0.2010136028
440	0.2009626738
441	0.2005873714
442	0.1998533991
443	0.1995499033
444	0.1987877493
445	0.198486806
446	0.1977200659
447	0.1972575949
448	0.196719727
449	0.1964389507
450	0.1960886618
451	0.1960458696
452	0.1952230734
453	0.194876272
454	0.1942484575
455	0.1938695789
456	0.1932611405
457	0.1927804948
458	0.1924041511
459	0.1920022675
460	0.191597369
461	0.1911021532
462	0.1904809989
463	0.1901150473
464	0.1897132952
465	0.189471211
466	0.1891766199
467	0.1883857949
468	0.1879232313
469	0.1874079719
470	0.1869587995
471	0.1868413524
472	0.1864060652
473	0.1863508494
474	0.1858389657
475	0.1856132806
476	0.1850365445
477	0.1848498059
478	0.1843975494
479	0.1838049262
480	0.1833290601
481	0.1829318378
482	0.1823801288
483	0.1822432017
484	0.1817272284
485	0.181468928
486	0.1809826329
487	0.1809594973
488	0.1806670195
489	0.1804109704
490	0.1798233092
491	0.1794320388
492	0.179282657
493	0.1787880606
494	0.1780487915
495	0.1777637451
496	0.1775637122
497	0.1772525127
498	0.1767918173
499	0.1764612197
500	0.1762484214
501	0.1757380126
502	0.1754147504
503	0.1748689973
504	0.1746645661
505	0.1741860546
506	0.1738475259
507	0.1735815892
508	0.1734313424
509	0.1727929501
510	0.1723181652
511	0.1720651869
512	0.171705796
513	0.1713129996
514	0.1709709407
515	0.1704160983
516	0.1700170525
517	0.1699872854
518	0.1695718192
519	0.1694139127
520	0.1691005731
521	0.1688711232
522	0.1686323754
523	0.1680218341
524	0.1679708403
525	0.1677404992
526	0.1675756471
527	0.1674158138
528	0.1667578564
529	0.1664932583
530	0.165900253
531	0.1655058207
532	0.1651192714
533	0.1649104018
534	0.1645950413
535	0.1644118712
536	0.1642160438
537	0.163776421
538	0.1634381375
539	0.1630126604
540	0.1625239476
541	0.162216814
542	0.1620313381
543	0.1615882086
544	0.1611721104
545	0.1607591291
546	0.1602501556
547	0.1598519758
548	0.1596577258
549	0.1594277061
550	0.1589422049
551	0.158683961
552	0.1583191993
553	0.1578826205
554	0.1576613098
555	0.1574046723
556	0.1573144176
557	0.1572076577
558	0.1568207055
559	0.1564712939
560	0.1563834187
561	0.1560638872
562	0.1555689221
563	0.1552816187
564	0.1547533452
565	0.154558266
566	0.1541807925
567	0.1536829194
568	0.1533615828
569	0.1530490627
570	0.1526687489
571	0.1524033121
572	0.1520513172
573	0.1516180873
574	0.1515611596
575	0.1512136962
576	0.150743904
577	0.1505712823
578	0.150424712
579	0.1503969396
580	0.1500016777
581	0.1498339304
582	0.1495495679
583	0.1492926601
584	0.1491835416
585	0.1490136241
586	0.1487597668
587	0.1483974862
588	0.1482311023
589	0.1479430521
590	0.1477134046
591	0.1475858153
592	0.1471704855
593	0.1469386046
594	0.1467205477
595	0.1463874142
596	0.1460906806
597	0.1458051392
598	0.1454167734
599	0.144876403
600	0.1446143487
601	0.1443026988
602	0.1440784224
603	0.1437568597
604	0.1435771006
605	0.1432121926
606	0.1431821569
607	0.1431410893
608	0.1428219422
609	0.1424357989
610	0.1421820341
611	0.1420181523
612	0.1418490519
613	0.1416772946
614	0.1413648716
615	0.1412828886
616	0.1410245593
617	0.1407284891
618	0.1404720411
619	0.1403664592
620	0.1400460048
621	0.1398922927
622	0.1397598677
623	0.1396196056
624	0.1393122715
625	0.1390626022
626	0.1388652176
627	0.1386653888
628	0.1384564113
629	0.1380166137
630	0.1377862845
631	0.1376142557
632	0.137311968
633	0.1370739612
634	0.1369782351
635	0.1367308778
636	0.1364812902
637	0.1361469972
638	0.1358424777
639	0.1356498287
640	0.1354404028
641	0.1351110838
642	0.1347880527
643	0.1346250791
644	0.1345522228
645	0.1341843939
646	0.1339534063
647	0.1337136584
648	0.1332876518
649	0.1329993593
650	0.1329068826
651	0.13271627
652	0.132504116
653	0.1322791187
654	0.1320914507
655	0.1319184354
656	0.1317621552
657	0.1315141276
658	0.1313017832
659	0.1310582693
660	0.1307296628
661	0.1304874553
662	0.1301953471
663	0.1301312371
664	0.129864789
665	0.1296269935
666	0.1294922091
667	0.1292286132
668	0.1290124678
669	0.1288036046
670	0.1284680542
671	0.1282280444
672	0.1279555137
673	0.1278473391
674	0.1277046328
675	0.1275869356
676	0.1274951912
677	0.1273075987
678	0.1270164458
679	0.1268561205
680	0.1266356326
681	0.1264417776
682	0.1263942558
683	0.1262778888
684	0.1260468223
685	0.1258550194
686	0.1256162542
687	0.1254659175
688	0.1252748051
689	0.125133072
690	0.1248218401
691	0.1245575987
692	0.1242815795
693	0.1241561895
694	0.1238343367
695	0.1236789933
696	0.1233817759
697	0.123137109
698	0.1229455494
699	0.1227068829
700	0.1224812481
701	0.1223758813
702	0.1221591603
703	0.1219563888
704	0.1217988849
705	0.1215941758
706	0.1213094299
707	0.1211276114
708	0.1209506181
709	0.1207954742
710	0.1205349417
711	0.1203256303
712	0.1200486223
713	0.1197870747
714	0.1196784038
715	0.1194358957
716	0.1193131398
717	0.1191123902
718	0.1188993248
719	0.1186804842
720	0.1185912958
721	0.1183691451
722	0.1181810661
723	0.1181650148
724	0.1178288825
725	0.1177929495
726	0.1174978799
727	0.117429184
728	0.117348179
729	0.1173273346
730	0.1170971757
731	0.1169706245
732	0.1167100138
733	0.1164955789
734	0.1163729089
735	0.1161790622
736	0.1159114814
737	0.1156598498
738	0.1154141621
739	0.1150921728
740	0.1149631346
741	0.1148219752
742	0.1145456331
743	0.1142985352
744	0.1141424146
745	0.1139958544
746	0.1137869893
747	0.1134713634
748	0.1132067782
749	0.1130789702
750	0.1128562215
751	0.1126639794
752	0.11246836
753	0.112243522
754	0.1120627914
755	0.11193667
756	0.1116041569
757	0.1114560104
758	0.1110674451
759	0.1110094278
760	0.1108057243
761	0.1105956068
762	0.1105328357
763	0.1104717236
764	0.1102227917
765	0.1100757579
766	0.1099210038
767	0.1097023762
768	0.1096104059
769	0.1094264136
770	0.1091660529
771	0.1089904691
772	0.1088541461
773	0.1086670227
774	0.1085288503
775	0.1083309101
776	0.1082549427
777	0.1079927258
778	0.107753822
779	0.1075811007
780	0.1073585953
781	0.1072104437
782	0.1070536361
783	0.1067701202
784	0.1066354753
785	0.1064376546
786	0.1063861208
787	0.1061311628
788	0.1060038293
789	0.1057668377
790	0.105481459
791	0.1053186092
792	0.1052765139
793	0.1050364878
794	0.1048199471
795	0.104644918
796	0.104417108
797	0.1042474029
798	0.1042169189
799	0.104087381
0.09987849459
39457
798	0.09258666574
799	0.09241825729
